timestamp,value
12/16/18 17:40,348
12/16/18 18:30,93
12/16/18 18:40,63
12/16/18 18:50,6
12/16/18 19:00,762
12/16/18 19:10,174
12/16/18 19:20,252
12/16/18 19:30,303
12/16/18 19:40,285
12/16/18 19:50,849
12/16/18 20:00,519
12/16/18 20:10,594
12/16/18 20:20,252
12/16/18 20:20,72
12/16/18 20:30,315
12/16/18 20:40,267
12/16/18 20:50,147
12/16/18 21:00,225
12/16/18 21:10,285
12/16/18 21:20,537
12/16/18 21:30,"1,317"
12/16/18 21:40,693
12/16/18 21:50,405
12/16/18 22:00,372
12/16/18 22:10,483
12/16/18 22:20,"1,008"
12/16/18 22:30,"1,092"
12/16/18 22:40,474
12/16/18 22:50,522
12/16/18 23:00,435
12/16/18 23:10,462
12/16/18 23:20,399
12/16/18 23:30,309
12/16/18 23:40,315
12/16/18 23:50,198
12/17/18 0:00,180
12/17/18 0:10,240
12/17/18 0:20,231
12/17/18 0:30,210
12/17/18 0:40,219
12/17/18 0:50,84
12/17/18 1:00,75
12/17/18 1:10,72
12/17/18 1:20,78
12/17/18 1:30,78
12/17/18 1:40,93
12/17/18 1:50,45
12/17/18 2:00,270
12/17/18 2:10,"23,034"
12/17/18 2:20,"1,767"
12/17/18 2:30,639
12/17/18 3:50,3
12/17/18 4:40,3
12/17/18 5:20,3
12/17/18 7:30,66
12/17/18 8:00,3
12/17/18 8:10,3
12/17/18 8:20,78
12/17/18 8:30,6
12/17/18 8:40,24
12/17/18 8:50,21
12/17/18 9:00,51
12/17/18 9:10,108
12/17/18 9:20,78
12/17/18 9:30,288
12/17/18 9:40,177
12/17/18 9:50,120
12/17/18 10:00,135
12/17/18 10:10,111
12/17/18 10:20,120
12/17/18 10:30,120
12/17/18 10:40,30
12/17/18 11:20,15
12/17/18 11:30,192
12/17/18 11:40,237
12/17/18 11:50,33
12/17/18 12:00,36
12/17/18 12:10,96
12/17/18 12:20,873
12/17/18 12:30,525
12/17/18 12:40,453
12/17/18 12:50,843
12/17/18 13:00,411
12/17/18 13:10,504
12/17/18 13:20,786
12/17/18 13:30,660
12/17/18 13:40,507
12/17/18 13:50,519
12/17/18 14:00,123
12/17/18 14:10,138
12/17/18 14:20,105
12/17/18 14:30,639
12/17/18 14:40,663
12/17/18 14:50,765
12/17/18 15:00,366
12/17/18 15:10,285
12/17/18 15:20,390
12/17/18 15:30,309
12/17/18 15:40,468
12/17/18 15:50,501
12/17/18 16:00,381
12/17/18 16:10,411
12/17/18 16:20,426
12/17/18 16:30,348
12/17/18 16:40,345
12/17/18 16:50,309
12/17/18 17:00,324
12/17/18 17:10,414
12/17/18 17:20,543
12/17/18 17:30,663
12/17/18 17:40,129
12/17/18 17:50,42
12/17/18 18:00,15
12/17/18 18:10,216
12/17/18 18:20,327
12/17/18 18:30,60
12/17/18 18:40,261
12/17/18 18:50,336
12/17/18 19:10,51
12/17/18 19:30,171
12/17/18 19:40,129
12/17/18 19:50,81
12/17/18 20:00,180
12/17/18 20:10,45
